Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2024-03-13 22:57:50.225168	1.0	0.5	0	0.1	0	0.0	0.0
2024-03-13 22:57:51.226331	2.0	0.8	30	0.1	0	0.004	0.0
2024-03-13 22:57:52.227552	3.0	1.1	29	0.1	0	0.008	0.0
2024-03-13 22:57:53.228560	4.0	1.5	42	0.1	0	0.011	0.0
2024-03-13 22:57:54.229569	5.0	2.0	48	0.2	0	0.011	0.0
2024-03-13 22:57:55.230616	6.0	2.5	45	0.2	0	0.012	0.0
2024-03-13 22:57:56.231634	7.0	2.9	48	0.2	0	0.012	0.0
2024-03-13 22:57:57.232740	8.0	3.4	47	0.3	0	0.012	0.0
2024-03-13 22:57:58.233831	9.0	3.9	48	0.3	0	0.012	0.0
2024-03-13 22:57:59.234884	10.0	4.4	49	0.4	0	0.012	0.0
2024-03-13 22:58:00.249034	11.0	4.8	43	0.4	0	0.014	0.0
2024-03-13 22:58:01.251400	12.0	5.3	49	0.4	0	0.014	0.0
