Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2024-03-13 22:57:44.103256	1.0	4.8	0	0.4	0	0.294	0.0
2024-03-13 22:57:45.108941	2.0	5.1	14	1.5	1	0.368	0.0
2024-03-13 22:57:46.111689	3.0	6.0	1	1.5	1	0.369	0.0
2024-03-13 22:57:47.113773	4.0	7.0	0	1.6	1	0.429	0.0
2024-03-13 22:57:48.115837	5.1	7.9	0	1.6	1	0.429	0.0
2024-03-13 22:57:49.117422	6.1	8.9	0	1.7	1	0.429	0.0
2024-03-13 22:57:50.119413	7.1	9.8	1	1.9	1	0.429	0.0
2024-03-13 22:57:51.121462	8.1	10.5	1	1.7	1	0.433	0.001
2024-03-13 22:57:52.123405	9.1	11.4	0	1.8	1	0.437	0.001
2024-03-13 22:57:53.125359	10.1	12.4	0	1.8	1	0.441	0.001
2024-03-13 22:57:54.127326	11.1	13.3	0	2.0	1	0.441	0.001
2024-03-13 22:57:55.129387	12.1	14.3	1	2.3	1	0.441	0.001
2024-03-13 22:57:56.131315	13.1	15.3	1	2.1	1	0.441	0.001
2024-03-13 22:57:57.133377	14.1	16.2	0	2.2	1	0.441	0.001
2024-03-13 22:57:58.135328	15.1	17.2	0	2.3	1	0.441	0.001
2024-03-13 22:57:59.137186	16.1	18.1	0	2.3	1	0.441	0.001
2024-03-13 22:58:00.139208	17.1	19.1	0	2.3	1	0.442	0.001
2024-03-13 22:58:01.141149	18.1	20.0	0	2.4	1	0.444	0.001
2024-03-13 22:58:02.143494	19.1	21.0	0	2.4	1	0.448	0.001
2024-03-13 22:58:03.145171	20.1	21.2	1	1.6	1	0.471	0.002
2024-03-13 22:58:04.149825	21.1	21.3	0	1.6	1	0.471	0.002
2024-03-13 22:58:05.152025	22.1	21.4	0	1.6	1	0.471	0.002
2024-03-13 22:58:06.156738	23.1	21.6	2	1.6	1	0.471	0.002
2024-03-13 22:58:07.161231	24.1	21.6	0	1.6	1	0.471	0.002
2024-03-13 22:58:08.165774	25.1	21.6	0	1.6	1	0.471	0.002
