Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2024-03-13 22:57:52.061780	1.0	0.7	0	0.1	0	0.0	0.0
2024-03-13 22:57:53.062902	2.0	1.2	55	0.1	0	0.0	0.0
2024-03-13 22:57:54.064045	3.0	1.7	48	0.2	0	0.0	0.0
2024-03-13 22:57:55.065116	4.0	2.2	47	0.2	0	0.0	0.0
2024-03-13 22:57:56.066112	5.0	2.6	46	0.2	0	0.0	0.0
2024-03-13 22:57:57.067136	6.0	3.1	50	0.3	0	0.0	0.0
2024-03-13 22:57:58.068241	7.0	3.6	47	0.3	0	0.0	0.0
2024-03-13 22:57:59.069275	8.0	4.1	49	0.3	0	0.0	0.0
2024-03-13 22:58:00.070412	9.0	4.6	49	0.4	0	0.0	0.0
2024-03-13 22:58:01.071535	10.0	5.0	43	0.4	0	0.001	0.0
2024-03-13 22:58:02.072582	11.0	5.5	46	0.4	0	0.001	0.0
